"",战役名称,进攻防守,兵力比归一化,地形编码,天气编码,发生时间,使用的计策
0,崤之战（春秋）,1,0.5,10,0.0,1,伏击
1,马陵之战（战国）,1,0.5555555555555556,22,2.0,0,伏击
2,巨鹿之战（秦末）,1,0.2,13,1.0,1,强攻
3,井陉之战（楚汉）,1,0.1304347826086956,8,4.0,1,伏击
4,定军山之战（三国）,1,0.8823529411764706,8,0.0,1,强攻
5,阴平之战（三国）,1,0.9090909090909092,27,3.0,0,强攻
6,白马之战（三国）,1,0.2857142857142857,13,5.0,0,强攻
7,襄平之战（东汉）,1,0.6666666666666666,5,6.0,1,强攻
8,街亭之战（三国）,1,0.8064516129032258,8,4.0,1,强攻
9,合肥之战（三国）,1,0.0079365079365079,5,2.0,0,突袭
10,彭城之战（楚汉）,1,0.0508474576271186,13,0.0,1,强攻
11,昌黎之战（三国）,1,0.25,23,5.0,1,强攻
12,巴西之战（三国）,1,0.6666666666666666,12,1.0,1,伏击
13,新城之战（魏 vs 孟达）,1,0.75,5,0.0,1,强攻
14,下辨之战（三国）,1,0.6666666666666666,8,0.0,0,强攻
15,樊城之战（三国）,1,0.625,13,4.0,1,强攻
16,蕲春之战（三国）,1,0.6666666666666666,0,6.0,0,强攻
17,石亭之战（三国）,1,0.3846153846153846,10,2.0,0,伏击
18,蓝田之战（秦末）,1,0.625,13,0.0,1,强攻
19,雁门之战（汉）,1,0.375,23,8.0,1,强攻
20,河西之战（汉）,1,0.3333333333333333,15,0.0,1,强攻
21,上党之战（战国）,1,0.6,8,1.0,1,强攻
22,垂沙之战（战国）,1,0.6153846153846154,19,2.0,0,强攻
23,即墨之战（战国）,1,0.625,5,0.0,1,伏击
24,荥阳之战（楚汉）,1,0.4,13,4.0,1,伏击
25,陇西之战（三国）,1,0.6,8,0.0,1,强攻
26,交州之战（三国）,1,0.6666666666666666,1,9.0,1,伏击
27,狄道之战（三国）,1,0.5714285714285714,12,1.0,1,强攻
28,东兴之战（三国）,1,0.4615384615384615,28,7.0,0,强攻
29,阳平关之战（三国）,1,0.625,3,0.0,1,死守
30,襄武之战（三国）,1,0.6666666666666666,13,4.0,1,骑兵突击
31,石城之战（三国）,1,0.6,5,6.0,0,突袭
32,武陵之战（三国）,1,0.25,8,0.0,0,强攻
33,白狼山之战（东汉）,1,0.2857142857142857,23,8.0,0,强攻
34,淮南之战（三国）,1,0.625,13,0.0,1,强攻
35,江州之战（三国）,1,0.3333333333333333,8,1.0,0,伏击
36,南郑之战（三国）,1,0.75,8,4.0,1,伏击
37,兖州之战（三国）,1,0.5714285714285714,13,0.0,1,强攻
38,下邳之战（三国）,1,0.7142857142857143,5,6.0,1,强攻
39,小沛之战（三国）,1,0.6666666666666666,13,5.0,0,强攻
